Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2007-07-01,CXA,8222,CSX,JJN,,,,,false,,2007-07-01T19:30,,,,,,2007-07-01T20:50,,Boeing 737,,,,,,,,1dc207e2-2dd5-4312-9f62-5ac34f5a31c9,d0ee441b-1a09-4d7c-b736-c4c8b7155b60,86baea5b-ada7-4048-b0f9-e647cf3e2e15,0f35140b-7daf-4ca6-9b3d-66977e6d92a7,,9d52e2d2-e872-477e-b033-23bff043de69
2007-08-01,CXA,8221,JJN,CSX,,,,,false,,2007-08-01T12:20,,,,,,2007-08-01T13:30,,Boeing 737,,,,,,,,d51b81fe-646c-4286-95b1-73656d471968,d0ee441b-1a09-4d7c-b736-c4c8b7155b60,0f35140b-7daf-4ca6-9b3d-66977e6d92a7,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,9d52e2d2-e872-477e-b033-23bff043de69
2013-07-26,CSN,3145,CSX,PEK,2,,2,,false,,2013-07-26T16:10,2013-07-26T16:27,,,,,2013-07-26T18:35,2013-07-26T18:22,,,,,,,,,055a9b31-1a20-4708-ad69-83fce553ce3a,255d4d33-d2aa-4a84-bc7d-0613c507151f,86baea5b-ada7-4048-b0f9-e647cf3e2e15,fa495023-95f7-46c7-abf5-69a5f2120d69,,
2014-07-11,CES,5342,CSX,PVG,,,1,,false,,2014-07-11T08:05,2014-07-11T08:13,,,,,2014-07-11T09:45,2014-07-11T09:40,Airbus A320,,,,,,,,02139fdf-41e7-4782-85ea-e5be7bd1128c,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,86baea5b-ada7-4048-b0f9-e647cf3e2e15,94ecd389-4c82-477f-8502-261c27f5b6fa,,63155468-7f9d-4f33-8e5d-c0bf2edd2987
2014-07-11,CES,587,PVG,JFK,1,,1,,false,,2014-07-11T11:30,2014-07-11T12:42,,,,,2014-07-11T14:25,2014-07-11T15:40,Airbus A340-600,,,,,,,,8545c933-cec8-4c08-8f22-cfe732851280,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,94ecd389-4c82-477f-8502-261c27f5b6fa,fc332185-4dde-4791-b449-0de5e83e47b9,,978fc80b-9060-4cb4-9249-9e9bbf003557
2014-08-08,VRD,205,ORD,SFO,,,,,false,,2014-08-08T14:20,2014-08-08T14:14,,,,,2014-08-08T16:50,2014-08-08T16:50,Airbus A320,,,,,,,,5bfd0d44-77dd-49f5-ba88-974ff2e86827,e17f134c-7900-4330-8299-d77992e5c137,a5eff314-18e7-4c87-bd38-0131882f1b8d,9b0faf9d-6e26-44ce-88d6-f30a340ea2b7,,dd390a1f-e92a-4411-ab72-04db16d42030
2014-08-14,CES,584,LAX,PVG,B,,1,,false,,2014-08-14T01:00,2014-08-14T00:48,,,,,2014-08-15T07:05,2014-08-15T05:34,,,,,,,,,521a9092-825e-47cc-8aad-d69906fa98e6,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,25b8d712-9888-423f-868d-b25f1d184aaf,94ecd389-4c82-477f-8502-261c27f5b6fa,,
2014-08-15,CES,5363,PVG,CSX,1,,,,false,,2014-08-15T16:20,2014-08-15T17:59,,,,,2014-08-15T18:10,2014-08-15T19:41,Airbus A321,,,,,,,,2506986e-27bf-45a4-b0fe-87a9274785a5,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,94ecd389-4c82-477f-8502-261c27f5b6fa,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2015-02-15,CXA,8186,CSX,FOC,2,,,,false,,2015-02-15T16:55,2015-02-15T18:42,,,,,2015-02-15T18:15,2015-02-15T20:09,Boeing 737,,,,,,,,0805d7c4-a2c4-4c57-a4ba-2c81fd125bd6,d0ee441b-1a09-4d7c-b736-c4c8b7155b60,86baea5b-ada7-4048-b0f9-e647cf3e2e15,9ef7076e-fb17-4ecb-aca2-c953d202e7ee,,9d52e2d2-e872-477e-b033-23bff043de69
2015-02-22,CXA,8469,FOC,CSX,,,2,,false,,2015-02-22T19:00,2015-02-22T18:55,,,,,2015-02-22T20:35,2015-02-22T20:37,,,,,,,,,4de1cf1d-b569-4ed9-9df5-d6aec975e134,d0ee441b-1a09-4d7c-b736-c4c8b7155b60,9ef7076e-fb17-4ecb-aca2-c953d202e7ee,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,
2015-11-10,CXA,8447,JJN,CTU,,,2,,false,,2015-11-10T15:50,2015-11-10T15:39,,,,,2015-11-10T19:00,2015-11-10T18:47,Boeing 737-800,,,,,,,,9ea72ffa-8e6b-4df9-b8d5-f1294d013efa,d0ee441b-1a09-4d7c-b736-c4c8b7155b60,0f35140b-7daf-4ca6-9b3d-66977e6d92a7,b0c5320c-15c1-4f40-b789-0cfe491aeb91,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2015-11-11,CSC,8607,CTU,JZH,1,,,,false,,2015-11-11T15:15,2015-11-11T16:27,,,,,2015-11-11T16:05,2015-11-11T17:53,Airbus A319,,,,,,,,f7e4f56e-ee2f-4ff4-ac95-b8440d6e9fed,fab62880-f263-4586-866e-31876e29d6e3,b0c5320c-15c1-4f40-b789-0cfe491aeb91,ba3df812-7f1b-493f-a0b1-da0c838cdbbc,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2015-11-15,CXA,8432,CTU,XMN,2,,3,,false,,2015-11-15T21:15,2015-11-15T21:17,,,,,2015-11-15T23:55,2015-11-15T23:27,Boeing 737-800,,,,,,,,2af0d7cd-6ba4-4c00-9b56-603d5ebe2423,d0ee441b-1a09-4d7c-b736-c4c8b7155b60,b0c5320c-15c1-4f40-b789-0cfe491aeb91,4b0054f0-7183-4b80-bfa1-1f79ad79ffe5,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2016-01-04,CXA,8215,JJN,CSX,,,2,,false,,2016-01-04T13:45,2016-01-04T13:46,,,,,2016-01-04T15:15,2016-01-04T15:11,Boeing 737-800,,,,,,,,1fee90cf-191b-49cc-aac2-2e094aa2a364,d0ee441b-1a09-4d7c-b736-c4c8b7155b60,0f35140b-7daf-4ca6-9b3d-66977e6d92a7,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2016-01-22,CSZ,9211,JJN,CSX,,,,,false,,2016-01-22T13:15,2016-01-22T13:46,,,,,2016-01-22T14:40,2016-01-22T15:25,Airbus A320,,,,,,,,b21ac342-9737-454a-87c6-5c066556009c,882ae493-92fd-4736-99aa-2a349ce76c91,0f35140b-7daf-4ca6-9b3d-66977e6d92a7,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2016-02-29,CXA,8488,CSX,JJN,2,,,,false,,2016-02-29T14:15,2016-02-29T14:16,,,,,2016-02-29T15:40,2016-02-29T15:34,Boeing 737-800,,,,,,,,4dffd379-b90b-4070-9c65-9ad9d6e711c9,d0ee441b-1a09-4d7c-b736-c4c8b7155b60,86baea5b-ada7-4048-b0f9-e647cf3e2e15,0f35140b-7daf-4ca6-9b3d-66977e6d92a7,,4f7a0cdc-f82f-4544-9e7b-f49a80b8463a
2016-06-16,CXA,8487,JJN,CSX,,,2,,false,,2016-06-16T08:00,,,,,,2016-06-16T09:30,,Boeing 737-800,,,,,,,,5d70692b-afd5-4736-9880-a1edd7e408f3,d0ee441b-1a09-4d7c-b736-c4c8b7155b60,0f35140b-7daf-4ca6-9b3d-66977e6d92a7,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2016-06-21,CSC,8952,CSX,CKG,,,2,,false,,2016-06-21T20:05,2016-06-21T20:23,,,,,2016-06-21T21:40,2016-06-21T21:32,Airbus A320,,,,,,,,4f89fc82-c210-4220-809a-acbffd906f8d,fab62880-f263-4586-866e-31876e29d6e3,86baea5b-ada7-4048-b0f9-e647cf3e2e15,e1bae218-a685-4595-9d35-a07859dcfbc0,,5abf9f45-a4ac-48dc-bd62-b6b0a6f31bb8
2016-06-25,OKA,2922,CKG,CSX,2,,2,,false,,2016-06-25T18:30,,,,,,2016-06-25T19:50,2016-06-25T19:45,Boeing 737-800,,,,,,,,279a3580-d723-4abb-a28b-fc48bf16cec8,01537c22-3fbf-45d9-833e-9543ddb99d0e,e1bae218-a685-4595-9d35-a07859dcfbc0,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2016-07-13,AFR,117,PVG,CDG,1,,2E,,false,,2016-07-13T10:20,2016-07-13T10:27,,,,,2016-07-13T16:35,2016-07-13T16:35,Boeing 777-200 ER,,,,,,,,48c705de-d7c8-4d18-86a9-efd98f634a98,ef3b3deb-e992-48e8-b4b6-ce96bb96be5c,94ecd389-4c82-477f-8502-261c27f5b6fa,065a1318-77b6-4f77-98ce-95b9253f64a5,,a0f171e1-86df-426a-8922-e460c0660ae6
2016-07-28,KLM,1592,BLQ,AMS,,12,2,,false,,2016-07-28T17:25,2016-07-28T17:23,,,,,2016-07-28T19:35,2016-07-28T19:12,Boeing 737-700,,,,,,,,e8ec22f7-afe5-4be7-94b4-fe10fb05143a,23930f39-7220-4a4b-a01e-3ab5508ca9f0,04f676ab-952f-456d-9b9c-6505e47969c2,f671c076-61b7-4572-8abb-359aaadaafd4,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2016-07-28,KLM,893,AMS,PVG,2,E20,1,,false,,2016-07-28T21:30,2016-07-28T21:38,,,,,2016-07-29T14:05,2016-07-29T14:11,Boeing 747-400,,,,,,,,d12b7735-1edb-49e8-a746-57989658d52c,23930f39-7220-4a4b-a01e-3ab5508ca9f0,f671c076-61b7-4572-8abb-359aaadaafd4,94ecd389-4c82-477f-8502-261c27f5b6fa,,c71ef305-0d60-4253-9650-b4f6eaf4713c
2016-08-14,QTR,875,CAN,DOH,,,,,false,,2016-08-14T00:55,2016-08-14T00:53,,,,,2016-08-14T04:00,2016-08-14T04:04,,,,,,,,,c7e3208e-abca-4828-83a7-2a4d41808d77,bbe2cc40-79ca-446a-8105-cbb932b064f0,7436d9ad-c589-49cb-9578-7762e8598fdc,570ae63e-c342-4fdb-b344-554184c13f1b,,
2016-08-14,QTR,701,DOH,JFK,,C7,8,,false,,2016-08-14T08:15,2016-08-14T08:21,,,,,2016-08-14T15:00,2016-08-14T14:46,Boeing 777-300 ER,,,,,,,,6398b520-af62-4a24-9fa8-c745fc916833,bbe2cc40-79ca-446a-8105-cbb932b064f0,570ae63e-c342-4fdb-b344-554184c13f1b,fc332185-4dde-4791-b449-0de5e83e47b9,,78eac566-1ad0-4ded-9979-9510dfde05f2
2016-12-19,CPA,845,JFK,HKG,7,,1,,false,,2016-12-19T00:45,2016-12-19T01:02,,,,,2016-12-20T05:40,2016-12-20T05:43,Boeing 777-300 ER,,,,,,,,b4df8d46-2538-4a56-8a06-6c45945feea9,8508d82c-f03a-4c99-88d8-46ede5aceb6d,fc332185-4dde-4791-b449-0de5e83e47b9,7da61aa8-3d56-411b-8be5-50a198e86c60,,78eac566-1ad0-4ded-9979-9510dfde05f2
2016-12-20,CPA,5720,HKG,CSX,1,502,2,,false,,2016-12-20T08:50,2016-12-20T09:05,,,,,2016-12-20T10:25,2016-12-20T10:35,Airbus A320,,,,,,,,e77baa90-91f9-4d3b-9830-aef9cbe6be19,8508d82c-f03a-4c99-88d8-46ede5aceb6d,7da61aa8-3d56-411b-8be5-50a198e86c60,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,dd390a1f-e92a-4411-ab72-04db16d42030
2017-01-01,CCA,3806,PVG,JJN,2,,,,false,,2017-01-01T16:15,2017-01-01T16:53,,,,,2017-01-01T18:15,2017-01-01T18:55,Airbus A320,,,,,,,,cc333cd0-b6ce-4495-9216-6ea5f8b56923,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,94ecd389-4c82-477f-8502-261c27f5b6fa,0f35140b-7daf-4ca6-9b3d-66977e6d92a7,,dd390a1f-e92a-4411-ab72-04db16d42030
2017-01-15,HDA,721,CSX,HKG,2,,1,,false,,2017-01-15T19:15,2017-01-15T20:17,,,,,2017-01-15T21:05,2017-01-15T22:20,Airbus A320,,,,,,,,dd83642c-a671-4141-a6ab-56eb9491921b,043d6b9b-8b28-4f1f-81f9-fbb6524b9cc5,86baea5b-ada7-4048-b0f9-e647cf3e2e15,7da61aa8-3d56-411b-8be5-50a198e86c60,,dd390a1f-e92a-4411-ab72-04db16d42030
2017-01-16,CPA,888,HKG,YVR,1,62,I,D73,false,,2017-01-16T01:00,2017-01-16T01:07,,,,,2017-01-15T20:25,2017-01-15T20:02,Boeing 777-300 ER,,,,,,,,30b914a4-227d-4e89-ab57-5ac60846c66f,8508d82c-f03a-4c99-88d8-46ede5aceb6d,7da61aa8-3d56-411b-8be5-50a198e86c60,c71de46b-62e9-43fb-83e7-1f44a3a393fe,,78eac566-1ad0-4ded-9979-9510dfde05f2
2017-01-16,CPA,888,YVR,JFK,I,D73,8,,false,,2017-01-16T21:50,2017-01-16T21:49,,,,,2017-01-17T06:00,2017-01-17T06:10,Boeing 777-300 ER,,,,,,,,f2e26c41-adbf-479f-a93f-13a5f764b4a0,8508d82c-f03a-4c99-88d8-46ede5aceb6d,c71de46b-62e9-43fb-83e7-1f44a3a393fe,fc332185-4dde-4791-b449-0de5e83e47b9,,78eac566-1ad0-4ded-9979-9510dfde05f2
2017-03-04,UAL,946,IAD,AMS,Main,C5,Main,D2,false,,2017-03-04T18:30,2017-03-04T18:38,,,,,2017-03-05T08:05,2017-03-05T08:28,Boeing 767-400,,,,,,,,bdfbbea3-0d69-4bed-9e93-5afec87afbc9,b57b4c86-4724-48f1-80be-d7de4036004a,519696f5-bda6-457c-ae4c-dd1cb07e20de,f671c076-61b7-4572-8abb-359aaadaafd4,,dae07e29-15b1-4f35-9552-d70888135843
2017-03-11,UAL,947,AMS,IAD,Main,D2,Main,C14,false,,2017-03-11T12:00,2017-03-11T12:00,,,,,2017-03-11T15:00,2017-03-11T14:27,Boeing 767-400,,,,,,,,fd9f6253-a664-4f7d-94d8-17e2cdfe60ac,b57b4c86-4724-48f1-80be-d7de4036004a,f671c076-61b7-4572-8abb-359aaadaafd4,519696f5-bda6-457c-ae4c-dd1cb07e20de,,dae07e29-15b1-4f35-9552-d70888135843
2017-04-28,AAL,3447,RIC,LGA,Main,A7,B,C3,false,,2017-04-28T13:37,2017-04-28T14:21,,,,,2017-04-28T14:59,2017-04-28T15:36,Embraer RJ145,,,,,,,,a7cfa613-eed4-42de-adae-722e9a5acda8,ae1fc6a5-c42d-4e70-ba63-d641d248d270,251bd012-ff1b-4fd6-aa7f-c7b9112eddad,dfeb8457-3376-49f8-b542-dbeb2ec9f719,,6358f527-1221-47d3-9170-26351f84ac05
2017-04-28,AAL,343,LGA,ORD,B,D3,3,H17,false,,2017-04-28T15:50,2017-04-28T15:46,,,,,2017-04-28T17:42,2017-04-28T17:46,Boeing 737-800,,,,,,,,f3335613-5991-4f52-857a-7d72dfc334ab,ae1fc6a5-c42d-4e70-ba63-d641d248d270,dfeb8457-3376-49f8-b542-dbeb2ec9f719,a5eff314-18e7-4c87-bd38-0131882f1b8d,,bfed5d53-9645-4ae2-aa8b-808123bd938b
2017-05-01,AAL,650,ORD,CLT,3,H10,Main,B4,false,,2017-05-01T12:16,2017-05-01T12:17,,,,,2017-05-01T15:15,2017-05-01T15:22,Airbus A321,,,,,,,,85c442f7-a029-4760-b262-34126255bafb,ae1fc6a5-c42d-4e70-ba63-d641d248d270,a5eff314-18e7-4c87-bd38-0131882f1b8d,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2017-05-01,AAL,2029,CLT,RIC,Main,C14,Main,A7,false,,2017-05-01T17:50,2017-05-01T20:25,,,,,2017-05-01T18:57,2017-05-01T21:31,Airbus A319,,,,,,,,90d5636c-7e76-4c50-b68a-4a9eb0730444,ae1fc6a5-c42d-4e70-ba63-d641d248d270,9bafd1d5-34a5-4ba8-b6af-61d3350d5912,251bd012-ff1b-4fd6-aa7f-c7b9112eddad,,fb8254ff-1d83-4fe1-a147-882c217dfcbe
2017-05-07,BAW,182,JFK,LHR,7,,5,,false,,2017-05-07T22:55,2017-05-07T22:44,,,,,2017-05-08T11:00,2017-05-08T11:23,Boeing 777-200 ER,,,,,,,,3af26244-26a4-4c6a-88de-b8f0ffbdfe9e,0e7d613e-188c-4d20-95ee-ddc17c17de3d,fc332185-4dde-4791-b449-0de5e83e47b9,5a2a51a0-1a5b-42c9-b220-c61953fac034,,a0f171e1-86df-426a-8922-e460c0660ae6
2017-05-13,CSN,304,LHR,CAN,4,10,,,false,,2017-05-13T22:35,2017-05-13T22:20,,,,,2017-05-14T17:05,2017-05-14T16:37,Boeing 787-8,,,,,,,,a2b7a5e5-701e-47d4-a9c7-d0dbde37bc22,255d4d33-d2aa-4a84-bc7d-0613c507151f,5a2a51a0-1a5b-42c9-b220-c61953fac034,7436d9ad-c589-49cb-9578-7762e8598fdc,,4f948d40-962a-4fdf-b1d9-424282d24f76
2017-05-14,CSN,3388,CAN,CSX,,,2,,false,,2017-05-14T20:20,2017-05-14T20:08,,,,,2017-05-14T21:45,2017-05-14T21:32,Airbus A320,,,,,,,,4774c897-53ed-4718-b307-9b5ee0b597bd,255d4d33-d2aa-4a84-bc7d-0613c507151f,7436d9ad-c589-49cb-9578-7762e8598fdc,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,dd390a1f-e92a-4411-ab72-04db16d42030
2017-06-02,CES,2265,XIY,CSX,3,H17,,,false,,2017-06-02T16:05,,,,,,2017-06-02T17:55,,Airbus A321,,,,,,,,36e2785b-1c00-4252-8ff3-874c6edfc5cc,7c3dc023-a5b2-4d2d-9bd1-6adecdcf1f16,26f6fa01-7076-47ac-a5ed-2b6da02a177a,86baea5b-ada7-4048-b0f9-e647cf3e2e15,,5904cdc2-eccf-41fe-8345-e82a51d3269c
2017-06-12,KLM,884,XMN,AMS,3,,2,,false,,2017-06-12T12:15,2017-06-12T12:06,,,,,2017-06-12T18:40,2017-06-12T18:38,Boeing 787-9,,,,,,,,f75a67c4-a69c-4bc5-abef-d8423b832c05,23930f39-7220-4a4b-a01e-3ab5508ca9f0,4b0054f0-7183-4b80-bfa1-1f79ad79ffe5,f671c076-61b7-4572-8abb-359aaadaafd4,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2017-06-12,KLM,1097,AMS,MAN,2,E4,3,,false,,2017-06-12T21:15,2017-06-12T21:18,,,,,2017-06-12T21:35,2017-06-12T21:22,Boeing 737-800,,,,,,,,19e251c9-8423-4813-bcea-6c9f0df135d4,23930f39-7220-4a4b-a01e-3ab5508ca9f0,f671c076-61b7-4572-8abb-359aaadaafd4,0f6792c2-c1b7-4356-9607-b64656099647,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2017-06-16,BAW,1489,GLA,LHR,M,,5,,false,,2017-06-16T15:20,2017-06-16T15:20,,,,,2017-06-16T16:50,2017-06-16T16:36,Airbus A320,,,,,,,,e2a5ccd5-a087-4c4d-b994-6eb04ed6d68c,0e7d613e-188c-4d20-95ee-ddc17c17de3d,1d84ee70-3d47-4eba-a70e-5961d0c51d59,5a2a51a0-1a5b-42c9-b220-c61953fac034,,dd390a1f-e92a-4411-ab72-04db16d42030
2017-06-16,BAW,215,LHR,BOS,5,B42,E,,false,,2017-06-16T18:20,2017-06-16T18:41,,,,,2017-06-16T20:50,2017-06-16T21:16,Boeing 777-300 ER,,,,,,,,adcf6731-ff6a-4442-9c0c-1c40665b3885,0e7d613e-188c-4d20-95ee-ddc17c17de3d,5a2a51a0-1a5b-42c9-b220-c61953fac034,813ec62f-c303-44d9-a041-a4434d6fd652,,78eac566-1ad0-4ded-9979-9510dfde05f2
2017-07-23,POE,234,YOW,YTZ,,20,,3B,false,,2017-07-23T16:00,2017-07-23T16:10,,,,,2017-07-23T17:02,2017-07-23T17:15,DHC-8-400 Dash 8Q,,,,,,,,324f035d-2b65-4556-9f91-c4cf3c97c375,40b26dc0-1c15-4251-a7b8-8aea1e3a6f94,659a6080-c44d-447e-b9d7-08a18533217a,51f483b9-1c36-469f-993b-37ff33fa0d4a,,59b23fcb-b36b-49f7-9fb9-b1dc2a1a47d1
2017-07-23,POE,949,YTZ,BOS,,8A,E,E2,false,,2017-07-23T18:15,2017-07-23T18:55,,,,,2017-07-23T19:48,2017-07-23T20:26,DHC-8-400 Dash 8Q,,,,,,,,41c98722-312e-43cb-bc95-c742a0763bc3,40b26dc0-1c15-4251-a7b8-8aea1e3a6f94,51f483b9-1c36-469f-993b-37ff33fa0d4a,813ec62f-c303-44d9-a041-a4434d6fd652,,59b23fcb-b36b-49f7-9fb9-b1dc2a1a47d1
2017-08-03,POE,944,BOS,YTZ,E,E2,,6,false,,2017-08-03T15:30,2017-08-03T15:30,,,,,2017-08-03T17:20,2017-08-03T17:20,DHC-8-400 Dash 8Q,,,,,,,,cb630051-a667-461c-b349-d9cfb9a6b4cf,40b26dc0-1c15-4251-a7b8-8aea1e3a6f94,813ec62f-c303-44d9-a041-a4434d6fd652,51f483b9-1c36-469f-993b-37ff33fa0d4a,,59b23fcb-b36b-49f7-9fb9-b1dc2a1a47d1
2017-08-05,POE,137,YTZ,EWR,,3B,B,51,false,,2017-08-05T15:00,2017-08-05T15:30,,,,,2017-08-05T16:30,2017-08-05T16:51,DHC-8-400 Dash 8Q,,,,,,,,cba177b2-e886-42d7-bfda-75e5f0612877,40b26dc0-1c15-4251-a7b8-8aea1e3a6f94,51f483b9-1c36-469f-993b-37ff33fa0d4a,4427d229-a1e2-4955-81fa-9b5c0f103f12,,59b23fcb-b36b-49f7-9fb9-b1dc2a1a47d1
2017-08-06,IBE,4246,BOS,CDG,B,B32,2A,,false,,2017-08-06T18:50,2017-08-06T18:50,,,,,2017-08-07T07:45,2017-08-07T07:52,Boeing 757-200,,,,,,,,2ef13a59-22ae-4bd3-8273-f7a23122c644,4641204d-60ce-4786-824a-cf07cda81816,813ec62f-c303-44d9-a041-a4434d6fd652,065a1318-77b6-4f77-98ce-95b9253f64a5,,2c3a4012-9fb9-44fc-9a71-0b6cb336042e
2017-08-14,EWG,7181,AMS,HAM,3,B27,2,,false,,2017-08-14T08:15,2017-08-14T08:14,,,,,2017-08-14T09:15,2017-08-14T09:14,Airbus A320,,,,,,,,453c31be-784c-41e9-bd56-a3a5d3827eb6,2850de9b-7637-411a-ad35-e91346a41f0a,f671c076-61b7-4572-8abb-359aaadaafd4,235d14c4-df8d-492a-b716-b53d69e4b910,,dd390a1f-e92a-4411-ab72-04db16d42030
2017-08-17,SAS,1424,CPH,ARN,3,,5,F39,false,,2017-08-17T15:20,2017-08-17T15:17,,,,,2017-08-17T16:30,2017-08-17T16:25,Airbus A320neo,,,,,,,,c0842273-5398-4afd-9166-62bfc496fdf1,3d813b4b-d747-4bdb-9569-73f61d95fb5c,09054701-0610-49f1-9bc4-e07200bdf095,94e58d0c-8465-4ac1-bc7e-4cff8f3240a0,,fc3bd268-833c-40f4-a74c-9512dabcbe08
2017-08-19,NOZ,4139,ARN,BGO,5,4A,,,false,,2017-08-19T13:10,2017-08-19T13:24,,,,,2017-08-19T14:35,2017-08-19T14:37,Boeing 737-800,,,,,,,,58588c32-e650-478f-b6e2-e66c517d0e44,570d812a-440b-4baa-a8b5-b20738cf8498,94e58d0c-8465-4ac1-bc7e-4cff8f3240a0,d7466ce4-1c02-4ba4-94c2-84a260fbc15b,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2017-08-22,NSZ,317,OSL,HEL,Main,D9,2,17,false,,2017-08-22T19:55,2017-08-22T19:50,,,,,2017-08-22T22:20,2017-08-22T22:14,Boeing 737-800,,,,,,,,a797457f-bb0b-49b5-9401-8eb24f55e9e5,17fd5940-d80e-4d17-b629-9ea3d6746b9c,0b97593c-1091-40e5-b6c1-d10fe4678556,561f2662-7b0f-4f72-b5bc-916f7b082f49,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2017-08-24,IBE,7409,HEL,JFK,2,,8,,false,,2017-08-24T14:10,2017-08-24T14:31,,,,,2017-08-24T15:50,2017-08-24T16:15,Airbus A330-300,,,,,,,,0648ec84-d0fd-4d94-a24a-a338d7f82266,4641204d-60ce-4786-824a-cf07cda81816,561f2662-7b0f-4f72-b5bc-916f7b082f49,fc332185-4dde-4791-b449-0de5e83e47b9,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2017-08-24,JBU,1307,JFK,IAD,,,Main,,false,,2017-08-24T17:59,2017-08-24T17:54,,,,,2017-08-24T19:30,2017-08-24T18:57,Embraer 190,,,,,,,,5e90faec-303c-40d3-a0be-10d36b3d8169,765155ec-70b3-4183-9cd3-10d1f5127405,fc332185-4dde-4791-b449-0de5e83e47b9,519696f5-bda6-457c-ae4c-dd1cb07e20de,,fb807099-ea21-44f1-afb3-388faab25ae3
2017-10-07,AMX,623,IAD,MEX,Main,B37,2,57,false,,2017-10-07T01:20,2017-10-07T01:23,,,,,2017-10-07T05:00,2017-10-07T05:10,Boeing 737-700,,,,,,,,9e603ad4-20a7-41b8-891a-0ca81af691d5,7ea1f32b-1df8-4328-8c36-3473a8abea7c,519696f5-bda6-457c-ae4c-dd1cb07e20de,52352c99-6347-4c4e-9472-3c8556ee037f,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2017-10-09,AMX,622,MEX,IAD,2,55,,,false,,2017-10-09T18:10,2017-10-09T18:06,,,,,2017-10-09T23:50,2017-10-09T23:38,Boeing 737-700,,,,,,,,71fae095-92e7-44b6-95f3-2c31e5941454,7ea1f32b-1df8-4328-8c36-3473a8abea7c,52352c99-6347-4c4e-9472-3c8556ee037f,519696f5-bda6-457c-ae4c-dd1cb07e20de,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2017-11-02,EIN,118,IAD,DUB,Main,,2,,false,,2017-11-02T18:30,2017-11-02T18:30,,,,,2017-11-03T05:25,,Boeing 757-200,,,,,,,,f1fd034c-6d6a-4244-99b8-5d552b828bcb,a4a016d4-2a72-44e9-8708-6ed6a5a9d2d1,519696f5-bda6-457c-ae4c-dd1cb07e20de,5dc01a9f-6855-4248-8e7b-0fef83144078,,2c3a4012-9fb9-44fc-9a71-0b6cb336042e
2017-11-26,EIN,168,DUB,LHR,2,,2,,false,,2017-11-26T14:00,2017-11-26T13:57,,,,,2017-11-26T15:30,,Airbus A320,,,,,,,,3bf3e974-bd22-4248-8996-87bc3a733564,a4a016d4-2a72-44e9-8708-6ed6a5a9d2d1,5dc01a9f-6855-4248-8e7b-0fef83144078,5a2a51a0-1a5b-42c9-b220-c61953fac034,,dd390a1f-e92a-4411-ab72-04db16d42030
2017-11-26,BAW,293,LHR,IAD,5,,Main,,false,,2017-11-26T17:00,2017-11-26T17:07,,,,,2017-11-26T20:30,2017-11-26T20:26,Boeing 747-400,,,,,,,,acf979d1-ced2-4a27-a161-db562824a505,0e7d613e-188c-4d20-95ee-ddc17c17de3d,5a2a51a0-1a5b-42c9-b220-c61953fac034,519696f5-bda6-457c-ae4c-dd1cb07e20de,,c71ef305-0d60-4253-9650-b4f6eaf4713c
